Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Bishkek,300,In Operation,2017,Coal,Bishkek,KYRGYZSTAN,Europe/Central Asia,1512,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.sourcewatch.org/index.php/Bishkek_power_station,,,,,,
Boa Vista Cpfl-Ii,27,Under Construction,2017,Hydropower,MG,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Bons Ventos,50,In Operation,2017,Wind,CE,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://www.thewindpower.net/windfarm_en_15168_bons-ventos.php,https://www.thewindpower.net/windfarm_en_15168_bons-ventos.php,,,,,
Bradwell-B,2300,Under Planning,Pending,Nuclear,Essex,UK,Europe/Central Asia,0,Greenfield,Yes,China General Nuclear Power Group,66.5,Greenfield,No,NA,NA,"https://infrastructure.planninginspectorate.gov.uk/projects/eastern/bradwell-b-new-nuclear-power-station/ , https://bradwellb.co.uk/wp-content/uploads/2020/03/Consultation-document.pdf",,,,,,
Brenig Wind,38,In Operation,2019,Wind,Denbighshire (Wales),UK,Europe/Central Asia,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,http://www.xinhuanet.com/fortune/2017-08/02/c_1121422399.htm,,,,,,
Bridgewater Et Solar,8,In Operation,2014,Solar,Somerset,UK,Europe/Central Asia,0,Greenfield,Yes,ET SOLAR,100,Greenfield,No,NA,NA,,,,,,,
Bruceville,19,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
Budhi Gandaki,900,Under Planning,Pending,Hydropower,Province No 3,NEPAL,South Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.hydroworld.com/articles/2018/02/nepal-prime-minister-to-revive-1-200-mw-budhi-gandaki-project.html,,No evidence of finance info,,,,
Bui Dam,403,In Operation,2013,Hydropower,Northern,GHANA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://gh.mofcom.gov.cn/aarticle/slfw/200708/20070804996218.html,,,,,,
Busanga,240,Under Planning,Pending,Hydropower,Lualaba,CONGO DEM REP,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.reuters.com/article/congodemocratic-mining-china/china-firms-to-fund-congo-hydro-power-plant-to-lift-mining-output-idUSL8N1962ES,,,,,,
Cabeco Da Rainha 1,10,In Operation,2013,Wind,Castelo Branco,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Cabeco Da Rainha 2,6,In Operation,2013,Wind,Castelo Branco,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
