Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Thang Long,600,In Operation,2018,Coal,Quang Ninh,VIETNAM,Southeast Asia,3024,Policy bank only,No,NA,NA,NA,Yes,CDB,Thang Long thermal power joint stock company,http://www.lvnlaw.com/index.php?option=com_content&view=article&id=3&Itemid=3,,http://bit.ly/1i5ON8h,http://webcache.googleusercontent.com/search?q=cache:98mUN9eez6QJ:paper.people.com.cn/rmrb/html/2017-01/25/nw.D110000renmrb_20170125_1-13.htm+&cd=2&hl=en&ct=clnk&gl=us,,,
Thar Block-I,1320,Under Planning,Pending,Coal,Sindh,PAKISTAN,South Asia,6654,Greenfield,Yes,SHANGHAI ELECTRIC GROUP,Not found,Greenfield,No,NA,NA,http://cpec.gov.pk/project-details/9,,,,,,
Thar Block-Ii Engro,660,In Operation,2019,Coal,Sindh,PAKISTAN,South Asia,3326,FDI + Policy bank,Yes,China General Technology,35,Greenfield,Yes,CDB,Sindh Engro Coal Mining Company,"http://www.sinomach.com.cn/xwzx/jtdt/2015_jtdt/201512/t20151223_79497.html , https://www.power-technology.com/projects/engro-thar-block-ii-power-plant/",,https://tribune.com.pk/story/1014068/china-pakistan-ink-820m-thar-coal-agreement/,,,,
Thar Block-Ii Hub,330,Under Construction,2021,Coal,Sindh,PAKISTAN,South Asia,1664,Policy bank only,No,NA,NA,NA,Yes,CDB,Thar Energy Limited,http://cpec.gov.pk/project-details/3,,,,,,
Thar Block-Ii Nova,330,Under Planning,Pending,Coal,Sindh,PAKISTAN,South Asia,1664,Policy bank only,No,NA,NA,NA,Yes,CDB,ThalNova Power Thar (TNPTL),http://cpec.gov.pk/project-details/3,,,,,,
Thar Block-VI,1400,Under Planning,Pending,Coal,Sindh,PAKISTAN,South Asia,7058,Greenfield,Yes,Beijing Jingneng & PowerChina,Not found,Greenfield,No,NA,NA,"http://www.oraclepower.co.uk/operations/thar-coalfield-block-vi/ , http://cpec.gov.pk/project-details/25 , https://reconnectingasia.csis.org/database/projects/thar-block-vi-power-plant-phase-i/eca8eecb-467c-432a-bacf-35e1c0efc55f/",,,,,,
Tirepied,5,In Operation,2012,Solar,Manche,FRANCE,Europe/Central Asia,0,Greenfield,Yes,ET SOLAR,100,Greenfield,No,NA,NA,,,,,,,
Tiroda 1,1320,In Operation,2012,Coal,Maharashtra,INDIA,South Asia,11572,Policy bank only,No,NA,NA,NA,Yes,CDB,Adani Power,https://www.sourcewatch.org/index.php/Tiroda_Thermal_Power_Project,,https://www.power-technology.com/projects/tiroda-super-critical-thermal-power-plant-maharashtra/,,,,
Tiroda 2,660,In Operation,2013,Coal,Maharashtra,INDIA,South Asia,5786,Policy bank only,No,NA,NA,NA,Yes,CDB,Adani Power,https://www.sourcewatch.org/index.php/Tiroda_Thermal_Power_Project,,https://www.power-technology.com/projects/tiroda-super-critical-thermal-power-plant-maharashtra/,,,,
Tiroda 3,1320,In Operation,2014,Coal,Maharashtra,INDIA,South Asia,11572,Policy bank only,No,NA,NA,NA,Yes,CDB,Adani Power,https://www.sourcewatch.org/index.php/Tiroda_Thermal_Power_Project,,https://www.power-technology.com/projects/tiroda-super-critical-thermal-power-plant-maharashtra/,,,,
Tramandai,68,In Operation,2015,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,https://www.aztec.us/portfolio/tramandai-wind-farm/,https://www.aztec.us/portfolio/tramandai-wind-farm/,,,,,
Tuas Gas 1,675,In Operation,2008,Gas,,SINGAPORE,Southeast Asia,2008,M&A,Yes,China Huaneng Group,100,M&A,No,NA,NA,http://www.chng.com.cn/eng/n75871/n75965/n1112740/index.html,,,,,,
Tuas Gas 2,675,In Operation,2008,Gas,,SINGAPORE,Southeast Asia,2008,M&A,Yes,China Huaneng Group,100,M&A,No,NA,NA,http://www.chng.com.cn/eng/n75871/n75965/n1112740/index.html,,,,,,
Tuas Gas 3,406,In Operation,2008,Gas,,SINGAPORE,Southeast Asia,1208,M&A,Yes,China Huaneng Group,100,M&A,No,NA,NA,http://www.chng.com.cn/eng/n75871/n75965/n1112740/index.html,,,,,,
Tuas Oil 1,1200,In Operation,2008,Oil,,SINGAPORE,Southeast Asia,4144,M&A,Yes,China Huaneng Group,100,M&A,No,NA,NA,http://www.chng.com.cn/n31533/n31685/n106253/n157047/index.html,,,,,,
Tuas Oil 2,24,In Operation,2008,Oil,,SINGAPORE,Southeast Asia,83,M&A,Yes,China Huaneng Group,100,M&A,No,NA,NA,http://www.chng.com.cn/n31533/n31685/n106253/n157047/index.html,,,,,,
Tura Kaishan,40,Under Planning,Pending,Geothermal,Pest,HUNGARY,Europe/Central Asia,0,Greenfield,Yes,ZHEJIANG KAISHAN COMPRESSOR CO,Not found,Greenfield,No,NA,NA,"https://dailynewshungary.com/chinas-zhejiang-kaishan-compressor-to-build-eur-141-1m-power-plant-in-hungary/ , https://bbj.hu/energy-environment/chinese-investor-to-build-geothermal-power-plant_150359",,,,,,
Tuzla,450,Under Planning,Pending,Coal,Tuzlanski,BOSNIA-HERZEGOVINA,Europe/Central Asia,2926,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.sourcewatch.org/index.php/Tuzla_Thermal_Power_Plant,,,,,,
Ucea De Sus,55,In Operation,2013,Solar,Brasov,ROMANIA,Europe/Central Asia,0,Greenfield,Yes,Hareon Solar,100,Greenfield,No,NA,NA,https://renewablesnow.com/news/germanys-conecon-to-complete-55-mw-solar-plant-in-romania-in-sept-361684/,https://renewablesnow.com/news/germanys-conecon-to-complete-55-mw-solar-plant-in-romania-in-sept-361684/,,,,,
Ufv Salgueiro,114,Under Planning,Pending,Solar,PE,BRAZIL,LAC,0,Greenfield,Yes,Canadian Solar,Not found,Greenfield,No,NA,NA,https://www.power-technology.com/news/canadian-solar-salgueiro-project/,,,,,,
Ugljevik-3,600,Under Planning,Pending,Coal,Srpska,BOSNIA-HERZEGOVINA,Europe/Central Asia,3901,Policy bank only,No,NA,NA,NA,Yes,CDB,Comsar Energy Republika Srpska,https://www.sourcewatch.org/index.php/Ugljevik_Thermal_Power_Plant,,https://balkangreenenergynews.com/ugljevik-3-power-plant-project-not-to-use-approved-environmental-permit/,https://bankwatch.org/blog/mounting-pressure-to-revoke-permit-for-the-planned-thermal-power-plant-ugljevik-iii,,,
Ulog,35,Under Planning,Pending,Hydropower,Srpska,BOSNIA-HERZEGOVINA,Europe/Central Asia,0,Policy bank only,No,NA,NA,NA,Yes,CDB,EFT Group,https://www.sciencedirect.com/science/article/pii/S0301421517307899,,,,,,
Upper Madi,25,In Operation,2016,Hydropower,Province No 4,NEPAL,South Asia,0,Greenfield,Yes,China Three Gorges Corporation,80,Greenfield,No,NA,NA,http://www.ctg.com.cn/sxjt/hwyw/_302845/303033/index.html,,,,,,
Upper Marsyangdi-A,50,In Operation,2016,Hydropower,Province No 4,NEPAL,South Asia,0,FDI + Policy bank,Yes,PowerChina,100,Greenfield,Yes,Ex-Im Bank,Sinohydro-Sagarmatha Power Co.,http://pr.powerchina.cn/g332.aspx,https://www.hydroworld.com/articles/2016/09/first-half-of-nepal-s-50-mw-upper-marsyangdi-hydroelectric-project-commissioned.html,http://www.chinanews.com/gj/2018/02-26/8454991.shtml,http://finance.sina.com.cn/roll/2017-04-07/doc-ifyeayzu7145213.shtml,http://pr.hjsxqm.com/g163/s996/t1949.aspx,http://pr.powerchina.cn/g163/s1109/t4074.aspx,
Upper Trishuli-Iiia,60,Under Construction,2020,Hydropower,Province No 3,NEPAL,South Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://thehimalayantimes.com/business/upper-trishuli-iii-a-kulekhani-iii-hydels-to-commission-power-next-month/,,,,,,
Usina Ester,50,In Operation,2017,Biomass,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Vale Dos Ventos,48,In Operation,2009,Wind,PB,BRAZIL,LAC,0,Greenfield,Yes,State Power Investment Corporation,Not Found,Greenfield,No,NA,NA,"http://pacifichydro.com/english/projects/brazil/vale-dos-ventos-wind-farm/ , http://en.spicoi.com/Mobile/Show/index/cid/10/id/17.html",,,,,,
Valenzuela Solar,9,In Operation,2015,Solar,Metro Manila (NCR),PHILIPPINES,Southeast Asia,0,Greenfield,Yes,Suntech,NA,Greenfield,No,NA,NA,,,,,,,
Vega Solar-1,400,Under Planning,Pending,Solar,YUC,MEXICO,LAC,0,Greenfield,Yes,Canadian Solar,Not found,Greenfield,No,NA,NA,http://proyectovegasolar1.mx/sobre-los-proyectos,,,,,,
Ventos Santa Monica,11,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Ventos Santa Ursula,28,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Ventos Sao Benedito,29,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Ventos Sao Domingos,25,In Operation,2017,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,State Grid Corporation of China,95,Greenfield,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Ventos Sao Martinho,14,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Ventos Sto Dimas,29,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Victor Phelan,22,In Operation,2015,Solar,CA,USA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
Vila Nova Ene,26,In Operation,2013,Wind,Coimbra,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Villa Castelli,20,In Operation,2016,Wind,,ITALY,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,49,M&A,No,NA,NA,http://www.mofcom.gov.cn/article/i/jyjl/m/201601/20160101228309.shtml,,,,,,
Villonaco,17,In Operation,2013,Wind,Loja,ECUADOR,LAC,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Petroecuador,http://online.wsj.com/article/SB10001424052702304314404576412373916029508.html,,,,,,
Vinh Tan-1,1240,In Operation,2018,Coal,Binh Thuan,VIETNAM,Southeast Asia,6250,FDI + Policy bank,Yes,China Southern Power Grid,55,Greenfield,Yes,CDB-Ex-Im Cofinancing,"China Power International Development Limited Company (possible supplier's credit？), Power Corporation (Vietnam National Coal-Natural Industries Corporation)","https://www.sourcewatch.org/index.php/Vinh_Tan_power_station , https://ppi.worldbank.org/snapshots/project/Vinh-Tan-1-Coal-Plant-7247 , http://www.china.org.cn/business/2017-07/19/content_41245688.htm",,http://www.chinatoday.com.cn/spc/2017-05/08/content_747152.htm,,,,
Vinh Tan-2,1244,In Operation,2014,Coal,Binh Thuan,VIETNAM,Southeast Asia,6270,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.sourcewatch.org/index.php/Vinh_Tan_power_station,,,,,,
Vitebsk Dvina,40,In Operation,2017,Hydropower,Vitebsk,BELARUS,Europe/Central Asia,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,http://www.cneec.com.cn/english/productsandservices/OurBusiness/Energy/HydraulicPowerGeneration/201303/t20130326_76741.html,,,,,,
Voznesensk,29,In Operation,2013,Solar,Mykolaiv,UKRAINE,Europe/Central Asia,0,Greenfield,Yes,China National Building Material,100,Greenfield,No,NA,NA,,,,,,,
Vung Ang-1,1200,In Operation,2014,Coal,Ha Tinh,VIETNAM,Southeast Asia,6049,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,https://www.sourcewatch.org/index.php/Vung_Ang_power_station,,,,,,
Waubaushene,30,In Operation,2015,Solar,ON,CANADA,North America,0,M&A,Yes,Canadian Solar,100,M&A,No,NA,NA,,,,,,,
White Rock Pv,20,In Operation,2018,Solar,NSW,AUSTRALIA,Oceania,0,Greenfield,Yes,Xinjiang Goldwind Science & Technology (Goldwind),100,Greenfield,No,NA,NA,,,,,,,
White Rock Wind,175,In Operation,2014,Wind,NSW,AUSTRALIA,Oceania,0,M&A,Yes,Xinjiang Goldwind Science & Technology (Goldwind),25,M&A,No,NA,NA,"https://www.power-technology.com/projects/white-rock-wind-farm-new-south-wales/ , https://www.power-technology.com/projects/white-rock-wind-farm-new-south-wales/ , http://www.goldwindaustralia.com/projects/under-construction/white-rock-wind-farm/",,,,,,
Woolnorth Bluff,65,In Operation,2012,Wind,TAS,AUSTRALIA,Oceania,0,M&A,Yes,Shenhua Group,75,M&A,No,NA,NA,https://www.woolnorthwind.com.au/wind-farms/bluff-popint,https://www.woolnorthwind.com.au/wind-farms/bluff-popint,,,,,
Woolnorth Studland,75,In Operation,2012,Wind,TAS,AUSTRALIA,Oceania,0,M&A,Yes,Shenhua Group,75,M&A,No,NA,NA,https://www.woolnorthwind.com.au/wind-farms/studland-bay,https://www.woolnorthwind.com.au/wind-farms/studland-bay,,,,,
Xelanong-2,36,Under Planning,Pending,Hydropower,Saravane,LAOS,Southeast Asia,0,Greenfield,Yes,China Gezhouba,Not found,Greenfield,No,NA,NA,https://www.hydroreview.com/2016/08/09/china-gezhouba-group-signs-deal-to-construct-35-mw-xelanong-2-hydropower-project-in-laos/#gref,,,,,,
Xeset-2,76,In Operation,2009,Hydropower,Saravan,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://cdm.unfccc.int/Projects/DB/BVQI1316699433.82/view,,https://www.hydroworld.com/articles/2018/01/86-mw-nam-phay-hydropower-project-in-laos-officially-commissioned.html,,,,
Xeset-3,23,In Operation,2017,Hydropower,Saravan,LAOS,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.norinco-intl.com/news_x.php?id=202&pid=1&k=3,,,,,,
Yaloak South,29,In Operation,2018,Wind,VIC,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,100,Greenfield,No,NA,NA,http://www.spic.com.cn/gjyw/qyfl/,,,,,,
Yamaguchi Csi,24,In Operation,2016,Solar,Yamaguchi,JAPAN,East Asia,0,Greenfield,Yes,Canadian Solar,100,Greenfield,No,NA,NA,,,,,,,
Yambuk,30,In Operation,2016,Wind,VIC,AUSTRALIA,Oceania,0,M&A,Yes,State Power Investment Corporation,100,M&A,No,NA,NA,http://www.spic.com.cn/gjyw/qyfl/,,,,,,
Yaroslavl Tets,480,In Operation,2017,Gas,Yaroslav Oblast,RUSSIA,Europe/Central Asia,1799,Greenfield,Yes,China Huadian Corporation,NA,Greenfield,No,NA,NA,"https://gbtimes.com/chinas-largest-electricity-project-russia-goes-operation , https://newsbase.com/topstories/russian-chinese-chp-plant-finally-ready-launch , http://europe.chinadaily.com.cn/business/2017-06/21/content_29828611.htm",,,,,,
Yeywa,790,In Operation,2010,Hydropower,Mandalay,MYANMAR,Southeast Asia,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://eng.sinohydro.com/index.php?m=content&c=index&a=show&catid=42&id=110,,,,,,
Yulchon 1,519,In Operation,2010,Gas,Jeollanam-do,SOUTH KOREA,East Asia,1544,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,"http://www.cgnne.com/encgnne/c100540/list_gcyw_zi02.shtml, http://en.cgnpc.com.cn/encgn/c100095/2016-08/25/content_760b64289c2d41ddb8b6e36b95fcb4af.shtml , https://www.industryabout.com/country-territories-3/2005-south-korea/fossil-fuels-energy/30796-yulchon-1-gas-power-plant",,,,,,
Yulchon 2,952,In Operation,2010,Gas,Jeollanam-do,SOUTH KOREA,East Asia,2832,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,"http://www.cgnne.com/encgnne/c100540/list_gcyw_zi02.shtml, http://en.cgnpc.com.cn/encgn/c100095/2016-08/25/content_760b64289c2d41ddb8b6e36b95fcb4af.shtml , https://www.industryabout.com/country-territories-3/2005-south-korea/fossil-fuels-energy/30796-yulchon-1-gas-power-plant",,,,,,
Yumurtalik Hunutlu,1320,Under Planning,Pending,Coal,Adana,TURKEY,Middle East,8833,Greenfield,Yes,State Power Investment Corporation,50.01,Greenfield,No,NA,NA,https://embapower.com/#aboutus https://www.nsenergybusiness.com/projects/hunutlu-thermal-power-plant/,,,,,,
Zedm Solar,50,Under Planning,Pending,Solar,Artemisa,CUBA,LAC,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://renewablesnow.com/news/hive-energy-creates-jv-with-shanghai-electric-for-50-mw-solar-project-in-cuba-632641/; http://silkroad.news.cn/invest/tzzx/66556.shtml,,,,,,
Zhanazhol (Zhtes) 2,32,In Operation,2005,Gas,Aktobe,KAZAKHSTAN,Europe/Central Asia,96,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Zhanazhol (Zhtes) 3,16,In Operation,2010,Gas,Aktobe,KAZAKHSTAN,Europe/Central Asia,48,Greenfield,Yes,China National Petroleum Corporation,NA,Greenfield,No,NA,NA,,,,,,,
Zongo-Ii,150,In Operation,2018,Hydropower,Kongo Central,CONGO DEM REP,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.xinhuanet.com/english/2017-12/27/c_136855640.htm,,,,,,
Zungeru,700,Under Construction,2020,Hydropower,Niger,NIGERIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.power-technology.com/projects/zungeru-hydropower-project/,,,,,,
14 de julho,100,In Operation,2017,Hydropower,RS,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,65,M&A,No,NA,NA,https://www.cpfl.com.br/unidades-de-negocios/geracao/cpfl-geracao/Paginas/default.aspx,,,,,,
Andorinhas (PCH),1,In Operation,2017,Hydropower,RS,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,http://ri.cpflrenovaveis.com.br/show.aspx?idCanal=eoP8fc2D9ep2mPboD56VeQ==,,,,,,
Aroeira ,33,In Operation,2015,Wind,RN,BRAZIL,LAC,0,M&A,Yes,EDPR,100,M&A,No,NA,NA,Aneel ; https://www.ctgbr.com.br/portfolio-item/energia-eolica/ ; https://www.thewindpower.net/windfarms_list_es.php ; ,,,,,,
Arvoredo (PCH),13,In Operation,2017,Hydropower,SC,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,http://ri.cpflrenovaveis.com.br/show.aspx?idCanal=eoP8fc2D9ep2mPboD56VeQ==,,,,,,
Aura Caetité 1,29,Under Construction,2025,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Caetité 2,29,Under Construction,2026,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Caetité 3,29,Under Construction,2027,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Caetité 4,21,Under Construction,2028,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 01,27,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 02,27,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 03,27,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 04,24,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 05,27,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 06,27,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Lagoa do Barro 07,27,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira IV,21,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira VI,27,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira VII,24,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira XI,9,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira XII,15,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira XIII,15,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira XV,18,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mangueira XVII,15,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mirim II,30,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mirim IV,15,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mirim VI,9,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Mirim VIII,9,In Operation,2019,Wind,RS,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Queimada Nova 01,30,Under Construction,2029,Wind,PI,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Queimada Nova 02,29,Under Construction,2030,Wind,PI,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Queimada Nova 03,9,In Operation,2019,Wind,PI,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Aura Tanque Novo 01,21,Under Construction,2031,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Tanque Novo 02,16,Under Construction,2032,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aura Tanque Novo 03,13,Under Construction,2033,Wind,BA,BRAZIL,LAC,0,Greenfield,Yes,China General Nuclear Power Group,100,Greenfield,No,NA,NA,Aneel,,,,,,
Aventura-I,28,In Operation,2015,Wind,RN,BRAZIL,LAC,0,M&A,Yes,EDPR,100,M&A,No,NA,NA,Aneel ; https://www.ctgbr.com.br/portfolio-item/energia-eolica/ ; https://www.thewindpower.net/windfarms_list_es.php ; ,,,,,,
Aventura-II,21,Under Construction,2023,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,17.73,Greenfield,No,NA,NA,Aneel,,,,,,
Aventura-III,25,Under Construction,2023,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,17.73,Greenfield,No,NA,NA,Aneel,,,,,,
Aventura-IV,29,Under Construction,2023,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,17.73,Greenfield,No,NA,NA,Aneel,,,,,,
Aventura-V,29,Under Construction,2023,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,17.73,Greenfield,No,NA,NA,Aneel,,,,,,
Barra Grande,690,In Operation,2017,Hydropower,RS,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,25,M&A,No,NA,NA,https://www.cpfl.com.br/unidades-de-negocios/geracao/cpfl-geracao/Paginas/default.aspx,,,,,,
Bio Energia,45,In Operation,2017,Biomass,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,http://ri.cpflrenovaveis.com.br/show.aspx?idCanal=eoP8fc2D9ep2mPboD56VeQ==,,,,,,
Bom Jesus da Lapa I,30,In Operation,2019,Solar,BA,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Bom Jesus da Lapa II,30,In Operation,2019,Solar,BA,BRAZIL,LAC,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,Aneel,,,,,,
Boqueirão I (antiga Jerusalém VII),42,Under Construction,2023,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,17.73,Greenfield,No,NA,NA,Aneel; ESIC 48700001934202050,,,,,,
Boqueirão II (antiga Jerusalém VIII),38,Under Construction,2023,Wind,RN,BRAZIL,LAC,0,Greenfield,Yes,China Three Gorges Corporation,17.73,Greenfield,No,NA,NA,Aneel; ESIC 48700001934202050,,,,,,
Buritis,1,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,http://ri.cpflrenovaveis.com.br/show.aspx?idCanal=eoP8fc2D9ep2mPboD56VeQ==,,,,,,
Camaçari Muricy II,143,Under Construction,2019,Oil,BA,BRAZIL,LAC,496,M&A,Yes,Jiangsu Communication Clean Energy Technology (CCETC),50,M&A,No,NA,NA,,,,,,,
